url,written,written_human_readable,origin
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/omero/Tiprl/28601_J70782_FHMS.zarr,14202961920,13.2 GiB,https://images.jax.org/webclient/?show=image-4713
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Tmem14a/27565_J22999_MKSLAP.zarr,18617794560,17.3 GiB,https://images.jax.org/webclient/?show=image-12884
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Dnaja1/18585_A24147_FSalvTrach.zarr,12740198400,11.9 GiB,https://images.jax.org/webclient/?show=image-3196
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/omero/Nr2f1/26722_J17940_MScBfBone.zarr,16078602240,15.0 GiB,https://images.jax.org/webclient/?show=image-9176
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/omero/Il6st/22388_J64247_FScBfBone.zarr,66811723776,62.2 GiB,https://images.jax.org/webclient/?show=image-12821
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/C9/22779_K3634_FSalvTrach.zarr,14093844480,13.1 GiB,https://images.jax.org/webclient/?show=image-4307
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/omero/Tmco6/28602_J57037_MGut.zarr,16456089600,15.3 GiB,https://images.jax.org/webclient/?show=image-10226
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/27907_J36427_FOvUT.zarr,14202961920,13.2 GiB,https://images.jax.org/webclient/?show=image-130973
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Arrb1/22420_K20352_FBrainEye.zarr,15659827200,14.6 GiB,https://images.jax.org/webclient/?show=image-13930
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Fitm2/26421_J1131_MSalvTrach.zarr,14615838720,13.6 GiB,https://images.jax.org/webclient/?show=image-1202
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/omero/Pcdh9/26672_J80573_MBrainEye.zarr,18402508800,17.1 GiB,https://images.jax.org/webclient/?show=image-5901
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Cdc34/24569_K79025_FLung.zarr,12614860800,11.7 GiB,https://images.jax.org/webclient/?show=image-7949
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/26866_J17775_MSalvTrach.zarr,17225809920,16.0 GiB,https://images.jax.org/webclient/?show=image-129624
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Dnajc28/18636_A21132_FOvUT.zarr,12607488000,11.7 GiB,https://images.jax.org/webclient/?show=image-2861
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Kif1b/23603_K16034_FKSLAP.zarr,18269798400,17.0 GiB,https://images.jax.org/webclient/?show=image-6659
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/25119_K91218_FHMS.zarr,14598144000,13.6 GiB,https://images.jax.org/webclient/?show=image-128275
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/27523_J48352_FSalvTrach.zarr,12899450880,12.0 GiB,https://images.jax.org/webclient/?show=image-130321
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Nxn/24233_K20189_MScBfBone.zarr,14111539200,13.1 GiB,https://images.jax.org/webclient/?show=image-7612
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/26600_J1989_MTestEpi.zarr,16181821440,15.1 GiB,https://images.jax.org/webclient/?show=image-129272
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Tpgs2/21752_K1349_MTestEpi.zarr,15659827200,14.6 GiB,https://images.jax.org/webclient/?show=image-6502
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/28481_J65205_FHMS.zarr,18756403200,17.5 GiB,https://images.jax.org/webclient/?show=image-131570
