url,written,written_human_readable,origin
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1489/whitej_205/2020-08/18/13-49-55.273/K93396_1.zarr,15566929920,14.5 GiB,https://images.jax.org/webclient/?show=image-164537
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1566/whitej_205/2020-08/18/16-20-48.645/KOMP_A31270_10.zarr,15146680320,14.1 GiB,https://images.jax.org/webclient/?show=image-167734
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2825/whitej_205/2021-07/07/10-55-22.834/X76049_4.zarr,13536460800,12.6 GiB,https://images.jax.org/webclient/?show=image-183457
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2087/whitej_205/2021-01/26/09-53-07.333/X43538_2.zarr,11666718720,10.9 GiB,https://images.jax.org/webclient/?show=image-180148
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2007/whitej_205/2020-12/02/16-21-16.734/K11210_5.zarr,10652221440,9.9 GiB,https://images.jax.org/webclient/?show=image-165828
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1514/whitej_205/2020-08/18/14-39-42.769/KOMP_K15791_6.zarr,15482880000,14.4 GiB,https://images.jax.org/webclient/?show=image-170395
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2075/whitej_205/2021-01/26/09-54-30.011/J51286_10.zarr,9028730880,8.4 GiB,https://images.jax.org/webclient/?show=image-178696
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1564/whitej_205/2020-08/18/16-17-07.370/KOMP_C10257-6.zarr,13188464640,12.3 GiB,https://images.jax.org/webclient/?show=image-167567
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1593/whitej_205/2020-08/18/17-17-28.747/KOMP_K3602_2.zarr,14623211520,13.6 GiB,https://images.jax.org/webclient/?show=image-174897
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2061/whitej_205/2021-01/05/12-55-22.426/X44267_3.zarr,7039549440,6.6 GiB,https://images.jax.org/webclient/?show=image-178632
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1507/whitej_205/2020-08/18/14-23-34.998/KOMP_C9541_5.zarr,10404495360,9.7 GiB,https://images.jax.org/webclient/?show=image-169983
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1607/whitej_205/2021-07/07/09-37-49.812/R23086_2.zarr,13972930560,13.0 GiB,https://images.jax.org/webclient/?show=image-175955
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2826/whitej_205/2021-07/07/10-53-27.094/X71118_1.zarr,11501568000,10.7 GiB,https://images.jax.org/webclient/?show=image-183654
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2083/whitej_205/2021-01/26/11-26-53.314/J96741_8.zarr,9236643840,8.6 GiB,https://images.jax.org/webclient/?show=image-179742
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1487/whitej_205/2020-08/18/13-43-51.705/KOMP_C8958_7.zarr,7762083840,7.2 GiB,https://images.jax.org/webclient/?show=image-165392
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1536/whitej_205/2020-08/18/15-31-26.983/KOMP_C10193-7.zarr,7885946880,7.3 GiB,https://images.jax.org/webclient/?show=image-171614
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1579/whitej_205/2020-08/18/16-48-14.907/KOMP_A24738_4.zarr,9833840640,9.2 GiB,https://images.jax.org/webclient/?show=image-173670
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2816/whitej_205/2021-07/07/09-55-12.884/R32544_10.zarr,6617825280,6.2 GiB,https://images.jax.org/webclient/?show=image-182305
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1557/whitej_205/2020-08/18/16-08-06.962/KOMP_K26062_5.zarr,13150126080,12.2 GiB,https://images.jax.org/webclient/?show=image-167232
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1550/whitej_205/2020-08/18/15-57-55.315/KOMP_C8806_2.zarr,12681216000,11.8 GiB,https://images.jax.org/webclient/?show=image-172374
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2708/whitej_205/2021-06/14/17-04-29.646/X29953_2.zarr,11444060160,10.7 GiB,https://images.jax.org/webclient/?show=image-180908
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2821/whitej_205/2021-07/07/10-21-40.732/R47617_3.zarr,6900940800,6.4 GiB,https://images.jax.org/webclient/?show=image-183001
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1528/whitej_205/2021-01/26/11-47-52.485/J91682_1.zarr,16243752960,15.1 GiB,https://images.jax.org/webclient/?show=image-186396
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1576/whitej_205/2020-08/18/16-40-25.957/KOMP_K20775_8.zarr,9341337600,8.7 GiB,https://images.jax.org/webclient/?show=image-173327
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2813/whitej_205/2021-07/07/10-34-09.903/X100375_10.zarr,8729395200,8.1 GiB,https://images.jax.org/webclient/?show=image-181952
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1548/whitej_205/2020-08/18/15-54-29.082/KOMP_K3642_4.zarr,13430292480,12.5 GiB,https://images.jax.org/webclient/?show=image-172217
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2904/whitej_205/2021-07/26/11-57-03.538/X17810_10.zarr,14014218240,13.1 GiB,https://images.jax.org/webclient/?show=image-184251
